observed_filename,expected_filename,available,sha256,size_bytes,source_role,authority_level,manifest_status,archive_path_safety,bytes_accessible,coverage_level,program_surfaces,custody_limitation,pages,word_count,title,author
reasoning-walkthroughs(1).pdf,reasoning-walkthroughs.pdf,True,13b95999f060c0be2142089cfb8b17b75e9231c3c1f3fa0980445ff1b35f0b3b,441468,retrospective model-authored proof-discovery reconstruction,EXTERNAL_MANUSCRIPT_REFERENCE,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,S39-S46,none beyond stated authority,62,34431,How the Ideas Came Together: Mathematical Discovery Notes,Mathematical Research Notes
ten-proofs-main(1).zip,ten-proofs-main.zip,True,abdd3cabdf687bf493da2df85d6f7c77387ec56bef9a4d9d6b2c342505c7f09f,3126181,external Lean formalization and packaging archive,EXTERNAL_FORMAL_SOURCE_STATICALLY_INSPECTED,formalization.yaml inspected,PASS: CRC/path/symlink/encryption audit,yes,COMPREHENSIVE,S40-S46,no Lean/lake build executed,,,,
ten-proofs-oai(1).pdf,ten-proofs-oai.pdf,True,64b900d5fae6fe22f2ae1b8e3b712d20055194a6c81cf343a2455e5898ac7dd6,2266371,external Ten Advances manuscript collection,EXTERNAL_MANUSCRIPT_REFERENCE,not an archive manifest owner,not an archive,yes,COMPREHENSIVE,"S38,S41-S46",none beyond stated authority,249,127088,Ten Advances in Mathematics and Theoretical Computer Science,OpenAI
NOT PRESENT,ar8r-pre-codex-owner-review-checkpoint-20260801.zip,False,660231b1d5a60f41ac1b5e6d0e2d9f79717e26bd79d6352bb92de0ad7f5b33e5,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,daee-epistemics-codex-v0.4.6.0-orthemology-check.zip,False,d04e55d6420c56ef7d624be70dfdbe330251775186b1028856a27b6f1914a93a,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,orthemology-apprehensional-reachability.zip,False,a76f2f8f764457dc098d053792fa9110dc0c8ef238cd8df93bb49ce5bc3528c6,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,noetic_structure_draft_v1.zip,False,f7b5baf1752c1917c4dabcde38842dd64d67ad97fb3baaff5f15a2400409a758,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,orthemology-transcendental-ascent-owner-packet.zip,False,fae58e0c90b14a94e2a4e8d5a27fbc0f246a7bc2c2f9333b9977c72a5bb4ea72,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,orthemology-transcendental-ascent-visual-packet.pdf,False,521a1504dd360b5fd2e60cdf52828a0a8f3e7f5dd395f4daf255fdea7758c950,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,AR8R-orthemological-transcendental-ascent-steer.md,False,da26d3ffdd35040db5aa7a480f2b8a967d88e8e4a2250af32a48df213da527b6,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,orthemology-owner-argument-verbatim.md,False,d737ccbcfdcd351f66b437ba50a480e3cf2d5405faa6d6857dcaa3ee32a67fe3,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,message(94).txt,False,b6ab82ad433c39cd5f8a88b8212d33033245fa0952f00c64d73497612976b29a,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,AR2–AR8 historical archives (exact filenames not supplied),False,,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,AR7 owner overlay / AR8 provisional archive,False,,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
NOT PRESENT,Fusha/Qamus repository snapshot,False,,,required referenced input,REFERENCED_BYTES_UNAVAILABLE,UNAVAILABLE,not testable,no,UNAVAILABLE,see burden registry,No bytes were attached or present; content not assessed.,,,,
